time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-06-29T12:00:00Z,62,70,1014.9,27.4,28.6,26.1
2025-05-17T22:00:00Z,38,80,1014.61,9.0,9.5,8.4
2025-05-17T15:30:00Z,49,68,1015.76,12.5,13.1,12.0
2025-05-17T18:00:00Z,53,69,1015.94,10.7,11.8,9.6
2025-06-04T08:30:00Z,59,69,1012.94,8.4,9.0,7.8
2025-06-04T23:00:00Z,43,80,1011.72,8.3,8.7,7.9
2025-08-04T01:30:00Z,58,76,1013.44,20.2,21.1,19.2
2025-08-04T15:00:00Z,49,81,1014.62,37.3,38.5,36.1
2025-08-04T21:30:00Z,41,87,1013.46,28.9,29.8,28.0
2025-07-09T18:30:00Z,29,96,1017.04,6.7,7.1,6.3
2025-07-28T07:00:00Z,70,68,1016.47,5.2,5.5,4.8
2025-07-28T12:30:00Z,65,69,1016.72,13.0,14.0,12.0
2025-06-07T01:30:00Z,50,73,1012.68,7.2,7.8,6.7
2025-06-07T00:00:00Z,45,77,1012.64,6.8,7.1,6.5
2025-06-07T08:00:00Z,59,68,1015.1,5.8,6.3,5.3
2025-05-28T05:30:00Z,61,67,1015.95,12.5,12.9,12.2
2025-05-28T22:00:00Z,46,76,1015.45,8.1,8.5,7.7
2025-05-28T11:30:00Z,58,69,1014.31,19.4,20.3,18.6
2025-05-28T12:30:00Z,58,69,1014.5,16.9,17.7,16.2
2025-05-28T06:00:00Z,62,66,1015.86,12.3,12.9,11.7
2025-08-02T16:00:00Z,53,78,1020.16,35.6,37.1,34.2
2025-08-02T07:30:00Z,66,69,1019.64,8.4,9.1,7.7
2025-08-02T19:00:00Z,34,92,1019.79,31.4,32.4,30.5
2025-06-30T13:00:00Z,61,69,1012.85,13.0,13.8,12.2
2025-06-30T05:00:00Z,66,68,1012.23,11.3,12.1,10.4
2025-06-30T04:00:00Z,64,70,1011.98,8.6,9.3,8.0
2025-06-28T22:30:00Z,40,85,1014.18,11.4,11.9,11.0
2025-06-28T19:00:00Z,30,95,1015.9,38.0,39.2,36.7
2025-06-28T07:00:00Z,61,71,1014.34,19.9,21.2,18.7
2025-06-28T05:00:00Z,59,72,1014.27,13.8,14.8,12.7
2025-05-10T22:30:00Z,36,87,1010.78,10.9,11.6,10.2
2025-07-25T05:00:00Z,68,69,1017.05,5.0,5.4,4.6
2025-06-09T09:30:00Z,61,69,1013.32,16.0,16.8,15.3
2025-08-06T09:00:00Z,69,69,1015.71,17.0,17.8,16.1
2025-07-29T14:00:00Z,65,71,1018.44,35.4,36.3,34.4
2025-07-12T07:30:00Z,61,72,1014.53,36.2,37.5,34.9
2025-07-12T04:00:00Z,60,71,1014.04,20.2,21.1,19.3
2025-07-12T09:00:00Z,61,72,1014.28,34.9,35.7,34.0
2025-07-12T15:30:00Z,58,74,1016.36,35.1,36.2,34.0
2025-07-05T03:00:00Z,60,72,1016.02,17.7,18.9,16.4
2025-07-05T23:30:00Z,46,82,1015.78,28.6,29.8,27.5
2025-06-02T00:30:00Z,49,78,1011.37,12.0,12.8,11.2
2025-06-02T09:00:00Z,62,67,1013.84,14.7,15.5,13.9
2025-08-05T09:00:00Z,70,69,1013.65,19.4,20.6,18.3
2025-08-05T22:30:00Z,46,86,1014.66,27.7,28.8,26.6
2025-08-05T02:00:00Z,59,77,1012.19,24.2,25.8,22.6
